"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\app\restaurants\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\restaurants\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 1, 6, 71
"d:\College\Sem3\Db\GroupProject\rms\app\restaurants\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 4, 10, 106
"d:\College\Sem3\Db\GroupProject\rms\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"d:\College\Sem3\Db\GroupProject\rms\components\dashboard\employee-distribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 7, 52
"d:\College\Sem3\Db\GroupProject\rms\components\dashboard\popular-cuisines.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 1, 9, 67
"d:\College\Sem3\Db\GroupProject\rms\components\dashboard\revenue-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 7, 63
"d:\College\Sem3\Db\GroupProject\rms\components\dashboard\top-restaurants.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 8, 76
"d:\College\Sem3\Db\GroupProject\rms\components\data.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 14, 13, 177
"d:\College\Sem3\Db\GroupProject\rms\components\dishes\dish-edit-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 495, 0, 15, 47, 557
"d:\College\Sem3\Db\GroupProject\rms\components\dishes\dish-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 17, 195
"d:\College\Sem3\Db\GroupProject\rms\components\dishes\dish-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 4, 20, 316
"d:\College\Sem3\Db\GroupProject\rms\components\employees\employee-edit-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 20, 313
"d:\College\Sem3\Db\GroupProject\rms\components\employees\employee-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 275, 0, 5, 20, 300
"d:\College\Sem3\Db\GroupProject\rms\components\financials\revenue-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 6, 19, 235
